client_id,segment,age,income,region,channel,card_type,credit_limit,issue_date,activated,activation_days
CLT00027,Массовый,30,887.73,Минская область,Мобильное приложение,Классическая,3812.02,2023-11-29,1,15.0
CLT00028,Массовый,32,1756.7,Минск,Отделение,Классическая,6714.01,2023-10-09,1,2.0
CLT00029,Массовый,18,1527.8,Минская область,Мобильное приложение,Классическая,6325.74,2024-04-26,0,
CLT00030,Массовый,45,1428.63,Гомельская область,Интернет-банк,Классическая,3041.0,2024-05-31,0,
CLT00031,Премиум,54,19235.85,Брестская область,Отделение,Золотая,63141.55,2024-01-31,1,29.0
CLT00032,Массовый,26,1284.66,Могилёвская область,Мобильное приложение,Классическая,2792.37,2023-01-14,0,
CLT00033,Массовый,19,1258.06,Минск,Интернет-банк,Классическая,5189.4,2023-07-18,1,28.0
CLT00034,Премиум,37,9954.26,Минск,Мобильное приложение,Платиновая,52055.78,2024-06-17,0,
CLT00035,Массовый,30,1490.9,Брестская область,Мобильное приложение,Классическая,6381.1,2024-03-22,0,
CLT00036,Массовый,22,1130.58,Минск,Мобильное приложение,Классическая,2431.0,2023-08-02,1,30.0
CLT00037,Массовый,31,1915.56,Минская область,Мобильное приложение,Классическая,11044.86,2024-03-22,0,
CLT00038,Премиум,39,7578.07,Гродненская область,Отделение,Золотая,30781.97,2024-01-06,0,
CLT00039,Массовый,31,1177.48,Гродненская область,Мобильное приложение,Классическая,4994.8,2024-02-04,1,29.0
CLT00040,Массовый,19,1287.54,Минская область,Интернет-банк,Классическая,3125.32,2023-05-05,0,
CLT00041,Премиум,47,14604.54,Минская область,Мобильное приложение,Платиновая,41673.96,2023-02-18,1,27.0
CLT00042,Премиум,33,14299.52,Минск,Мобильное приложение,Золотая,83464.91,2023-07-04,1,29.0
CLT00043,Массовый,45,2266.71,Минск,Отделение,Классическая,7534.77,2023-04-11,1,15.0
CLT00044,Массовый,24,1924.22,Минск,Мобильное приложение,Классическая,7399.28,2023-04-03,1,2.0
CLT00045,Массовый,43,2193.49,Витебская область,Мобильное приложение,Классическая,8171.2,2023-05-27,1,1.0
CLT00046,Массовый,39,1481.21,Брестская область,Отделение,Классическая,3305.79,2023-03-08,1,8.0
CLT00047,Массовый,22,1747.47,Минск,Отделение,Классическая,9748.51,2023-09-27,0,
CLT00048,Private,52,49419.59,Гродненская область,Отделение,Платиновая,217970.79,2023-12-25,1,27.0
CLT00049,Массовый,29,1660.82,Минск,Мобильное приложение,Классическая,5836.27,2023-07-08,0,
CLT00050,Массовый,21,2046.83,Могилёвская область,Интернет-банк,Классическая,7360.99,2023-03-14,1,24.0
CLT00051,Массовый,42,1617.47,Гродненская область,Интернет-банк,Классическая,6758.93,2024-02-01,1,24.0
CLT00052,Массовый,38,1943.19,Брестская область,Мобильное приложение,Классическая,4669.98,2023-04-14,1,29.0
CLT00053,Премиум,41,6794.93,Минск,Мобильное приложение,Платиновая,16111.21,2023-09-24,1,18.0
CLT00054,Премиум,51,13489.09,Могилёвская область,Мобильное приложение,Платиновая,50692.42,2023-08-29,1,27.0
CLT00055,Массовый,21,2384.9,Минская область,Мобильное приложение,Классическая,13625.84,2024-01-03,0,
CLT00056,Массовый,22,1458.61,Минская область,Мобильное приложение,Классическая,2942.15,2024-03-03,1,28.0
CLT00057,Массовый,35,1253.36,Минск,Отделение,Классическая,6658.19,2023-03-08,0,
CLT00058,Массовый,36,1469.27,Гродненская область,Интернет-банк,Классическая,6133.31,2023-07-12,0,
CLT00059,Массовый,35,2133.29,Минск,Мобильное приложение,Классическая,5506.16,2023-10-19,0,
CLT00060,Массовый,24,1645.74,Минская область,Отделение,Классическая,8562.03,2023-06-07,1,2.0
CLT00061,Массовый,44,906.64,Гродненская область,Мобильное приложение,Классическая,3878.04,2024-03-20,0,
CLT00062,Премиум,32,19227.69,Витебская область,Мобильное приложение,Золотая,110668.78,2023-11-15,0,
CLT00063,Массовый,19,1065.51,Гродненская область,Мобильное приложение,Классическая,5173.8,2024-02-26,0,
CLT00064,Премиум,49,11380.71,Гродненская область,Интернет-банк,Платиновая,67112.54,2023-04-17,1,7.0
CLT00065,Массовый,43,1894.74,Брестская область,Интернет-банк,Классическая,6078.04,2024-06-06,0,
CLT00066,Массовый,31,2235.8,Минская область,Отделение,Классическая,12757.88,2023-04-04,0,
CLT00067,Премиум,58,14124.85,Брестская область,Интернет-банк,Золотая,53903.04,2023-09-10,1,27.0
CLT00068,Массовый,18,1431.83,Витебская область,Интернет-банк,Классическая,6574.34,2023-10-19,0,
CLT00069,Массовый+,43,4782.89,Могилёвская область,Мобильное приложение,Классическая,16738.09,2023-04-10,1,12.0
CLT00070,Массовый+,46,3120.21,Минск,Интернет-банк,Классическая,9130.09,2024-01-28,0,
CLT00071,Массовый,40,969.04,Гомельская область,Отделение,Классическая,4868.28,2024-06-21,0,
CLT00072,Массовый,37,1873.77,Минская область,Отделение,Классическая,9469.5,2023-10-01,1,16.0
CLT00073,Массовый,21,2038.95,Витебская область,Интернет-банк,Классическая,9878.11,2023-05-28,1,2.0
CLT00074,Массовый,43,1903.38,Брестская область,Мобильное приложение,Классическая,9968.02,2023-09-13,0,
CLT00075,Массовый+,49,5940.35,Минская область,Мобильное приложение,Классическая,18455.25,2024-06-01,0,
CLT00076,Массовый,31,2069.11,Витебская область,Мобильное приложение,Классическая,4529.54,2024-03-15,0,
CLT00077,Массовый+,35,4051.94,Минск,Мобильное приложение,Золотая,14021.94,2023-09-02,0,
CLT00078,Массовый,39,2366.9,Минская область,Отделение,Классическая,10306.39,2023-12-16,0,
CLT00079,Массовый,22,1910.73,Минск,Интернет-банк,Классическая,7405.19,2023-01-15,1,21.0
CLT00080,Премиум,38,19362.76,Минская область,Мобильное приложение,Золотая,65523.04,2023-02-18,1,5.0
CLT00081,Private,35,67995.63,Минская область,Мобильное приложение,Привилегия,153429.3,2023-07-12,1,8.0
CLT00082,Массовый,31,2053.09,Минск,Мобильное приложение,Классическая,8291.76,2024-01-20,1,9.0
CLT00083,Массовый,21,1425.92,Минск,Отделение,Классическая,5260.23,2024-04-04,0,
CLT00084,Массовый,32,2014.87,Минская область,Мобильное приложение,Классическая,6440.53,2024-06-03,0,
CLT00085,Массовый+,48,3663.16,Минск,Мобильное приложение,Классическая,9100.65,2024-03-31,1,11.0
CLT00086,Массовый,24,2166.58,Минск,Мобильное приложение,Классическая,7104.58,2024-04-28,1,18.0
CLT00087,Массовый+,26,4654.72,Витебская область,Мобильное приложение,Классическая,22347.17,2023-08-15,0,
CLT00088,Премиум,35,8756.4,Минская область,Мобильное приложение,Платиновая,33738.13,2023-10-04,1,30.0
CLT00089,Массовый,38,1469.21,Минская область,Мобильное приложение,Классическая,8060.35,2023-11-26,0,
CLT00090,Массовый,34,1019.84,Брестская область,Мобильное приложение,Классическая,3737.68,2024-06-05,0,
CLT00091,Массовый+,44,3322.72,Минск,Отделение,Классическая,18714.11,2024-03-03,0,
CLT00092,Private,53,50846.29,Минск,Интернет-банк,Платиновая,302735.76,2023-12-19,1,5.0
CLT00093,Массовый,43,1317.33,Минск,Интернет-банк,Классическая,5885.04,2023-07-20,1,19.0
CLT00094,Массовый,42,2274.38,Гомельская область,Отделение,Классическая,10108.37,2023-01-27,1,25.0
CLT00095,Массовый,39,2162.61,Минск,Мобильное приложение,Классическая,4682.37,2023-08-09,1,30.0
CLT00096,Массовый,23,960.66,Гродненская область,Мобильное приложение,Классическая,4446.21,2023-04-15,0,
CLT00097,Массовый,39,1321.66,Минская область,Мобильное приложение,Классическая,4592.99,2024-02-14,0,
CLT00098,Массовый+,34,4016.22,Брестская область,Мобильное приложение,Классическая,11123.98,2023-11-03,0,
CLT00099,Массовый+,41,3011.9,Гродненская область,Интернет-банк,Классическая,7937.66,2023-06-22,1,29.0
CLT00100,Массовый+,28,3559.27,Минск,Мобильное приложение,Золотая,10411.61,2023-08-26,0,
CLT00101,Массовый,40,2491.73,Минск,Мобильное приложение,Классическая,10581.51,2023-09-30,1,5.0
CLT00102,Массовый+,31,2530.98,Брестская область,Мобильное приложение,Золотая,14954.25,2023-03-14,1,11.0
CLT00103,Массовый,31,1725.72,Минск,Интернет-банк,Классическая,3619.87,2023-09-29,1,15.0
CLT00104,Массовый+,48,4137.19,Минск,Интернет-банк,Золотая,24672.27,2024-01-17,0,
CLT00105,Массовый,29,2432.0,Брестская область,Мобильное приложение,Классическая,9991.15,2023-04-16,1,23.0
CLT00106,Массовый,44,1565.36,Минская область,Мобильное приложение,Классическая,4254.26,2023-12-07,1,15.0
CLT00107,Массовый+,51,5223.13,Минская область,Интернет-банк,Золотая,18216.23,2023-06-14,1,19.0
CLT00108,Массовый,42,1472.35,Брестская область,Интернет-банк,Классическая,2978.03,2023-08-25,0,
CLT00109,Массовый,37,1190.27,Могилёвская область,Мобильное приложение,Классическая,6217.84,2023-11-25,0,
CLT00110,Массовый,32,1372.51,Могилёвская область,Мобильное приложение,Классическая,2870.48,2023-05-17,0,
CLT00111,Массовый,23,1938.53,Гродненская область,Мобильное приложение,Классическая,7992.09,2023-06-27,0,
CLT00112,Массовый+,42,4160.44,Минская область,Мобильное приложение,Золотая,21529.74,2023-03-18,1,25.0
CLT00113,Массовый,38,1313.7,Минск,Мобильное приложение,Классическая,7695.52,2023-10-12,0,
CLT00114,Массовый,41,1618.28,Минск,Мобильное приложение,Классическая,6242.05,2024-03-14,1,17.0
CLT00115,Массовый,45,1855.99,Гродненская область,Отделение,Классическая,10963.7,2023-05-15,0,
CLT00116,Массовый,40,2431.04,Минск,Интернет-банк,Классическая,9532.41,2024-05-23,1,30.0
CLT00117,Массовый,43,1466.88,Гродненская область,Мобильное приложение,Классическая,6584.55,2023-07-17,1,22.0
CLT00118,Массовый,24,1864.74,Минск,Отделение,Классическая,5869.73,2024-02-05,1,8.0
CLT00119,Массовый,29,1877.58,Могилёвская область,Мобильное приложение,Классическая,7044.86,2023-02-27,0,
CLT00120,Массовый,37,2088.37,Гродненская область,Интернет-банк,Классическая,7440.74,2023-12-14,0,
CLT00121,Массовый,24,2200.01,Могилёвская область,Отделение,Классическая,10048.7,2023-09-09,0,
CLT00122,Массовый+,31,4560.95,Минск,Интернет-банк,Золотая,25739.25,2024-05-12,1,19.0
CLT00123,Массовый,32,1645.02,Минск,Мобильное приложение,Классическая,7499.69,2023-02-20,0,
CLT00124,Массовый,33,1894.91,Минск,Мобильное приложение,Классическая,8720.98,2023-06-25,0,
CLT00125,Массовый,25,1540.2,Гомельская область,Интернет-банк,Классическая,5412.43,2023-07-14,0,
CLT00126,Массовый,38,1807.35,Брестская область,Отделение,Классическая,10525.44,2023-06-13,1,28.0
CLT00127,Массовый,28,1146.41,Минская область,Интернет-банк,Классическая,6462.12,2023-11-15,0,
CLT00128,Массовый,40,1107.92,Гродненская область,Мобильное приложение,Классическая,3214.99,2023-02-08,1,14.0
CLT00129,Массовый+,49,4103.32,Брестская область,Мобильное приложение,Золотая,8509.13,2023-02-28,1,6.0
CLT00130,Массовый+,28,2963.21,Гродненская область,Отделение,Классическая,8175.25,2023-09-10,1,2.0
CLT00131,Массовый,24,1610.92,Гродненская область,Интернет-банк,Классическая,7961.17,2024-05-24,0,
CLT00132,Массовый,39,1857.47,Минск,Мобильное приложение,Классическая,4187.17,2023-12-26,0,
CLT00133,Массовый+,27,2999.35,Минская область,Интернет-банк,Классическая,8987.03,2023-09-09,1,28.0
CLT00134,Private,59,69923.67,Минск,Мобильное приложение,Привилегия,244078.06,2024-01-07,0,
CLT00135,Массовый,34,2358.84,Минск,Мобильное приложение,Классическая,11684.86,2023-10-14,1,22.0
CLT00136,Массовый+,45,5275.21,Минская область,Мобильное приложение,Золотая,29842.45,2023-08-03,0,
CLT00137,Массовый,20,2130.02,Минск,Мобильное приложение,Классическая,11930.06,2024-02-05,1,27.0
CLT00138,Массовый+,47,5072.63,Гомельская область,Интернет-банк,Классическая,29664.41,2023-06-06,1,23.0
CLT00139,Премиум,48,8293.91,Витебская область,Интернет-банк,Платиновая,44953.79,2023-03-06,0,
CLT00140,Премиум,30,18114.43,Минск,Интернет-банк,Платиновая,66008.43,2024-04-19,1,5.0
CLT00141,Массовый,22,2131.31,Могилёвская область,Отделение,Классическая,12130.67,2023-11-13,0,
CLT00142,Массовый,28,2302.78,Гродненская область,Отделение,Классическая,9904.06,2023-10-23,1,25.0
CLT00143,Массовый,38,1573.07,Минск,Интернет-банк,Классическая,8593.34,2024-04-01,0,
CLT00144,Массовый+,34,3628.2,Брестская область,Интернет-банк,Золотая,16963.48,2023-01-20,0,
CLT00145,Массовый,39,1016.57,Минская область,Мобильное приложение,Классическая,5964.83,2024-04-17,0,
CLT00146,Массовый,26,1038.14,Минск,Мобильное приложение,Классическая,6074.33,2023-10-16,1,11.0
CLT00147,Премиум,43,10139.2,Минск,Партнёр,Золотая,56252.36,2024-02-07,1,25.0
CLT00148,Массовый+,26,3416.76,Витебская область,Мобильное приложение,Классическая,13079.43,2023-08-03,1,22.0
CLT00149,Массовый,45,1963.65,Минск,Мобильное приложение,Классическая,4562.92,2024-01-01,0,
CLT00150,Массовый,41,2184.36,Брестская область,Мобильное приложение,Классическая,8770.28,2023-01-08,0,
CLT00151,Массовый,31,1090.77,Минск,Мобильное приложение,Классическая,6345.91,2023-02-27,0,
CLT00152,Массовый,32,1183.57,Витебская область,Мобильное приложение,Классическая,6354.0,2023-05-26,0,
CLT00153,Массовый,44,2067.5,Витебская область,Интернет-банк,Классическая,5734.46,2024-04-15,0,
CLT00154,Массовый,35,1051.2,Минск,Партнёр,Классическая,4430.1,2024-06-14,1,29.0
CLT00155,Массовый,32,2408.71,Гродненская область,Отделение,Классическая,12251.05,2024-06-23,0,
CLT00156,Массовый,31,2283.66,Минск,Отделение,Классическая,13500.94,2023-09-21,1,21.0
CLT00157,Массовый,38,1383.3,Минская область,Мобильное приложение,Классическая,3772.26,2023-07-24,0,
CLT00158,Массовый+,40,2566.16,Витебская область,Мобильное приложение,Золотая,13184.53,2024-04-15,0,
CLT00159,Массовый+,50,2892.37,Минск,Интернет-банк,Золотая,15967.27,2023-07-29,1,24.0
CLT00160,Массовый,27,1649.9,Могилёвская область,Мобильное приложение,Классическая,8346.79,2024-05-04,0,
CLT00161,Массовый,30,1004.72,Гродненская область,Мобильное приложение,Классическая,2426.47,2023-07-14,1,8.0
CLT00162,Массовый,44,1890.58,Витебская область,Интернет-банк,Классическая,9402.74,2023-06-27,1,10.0
CLT00163,Массовый+,48,4865.99,Гродненская область,Мобильное приложение,Золотая,18200.27,2023-03-25,1,22.0
CLT00164,Массовый,44,2310.48,Гродненская область,Мобильное приложение,Классическая,7489.96,2024-04-23,0,
CLT00165,Премиум,42,8135.44,Брестская область,Мобильное приложение,Золотая,46116.38,2023-03-31,1,29.0
CLT00166,Массовый+,47,5481.65,Минск,Мобильное приложение,Классическая,24270.7,2023-04-14,1,22.0
CLT00167,Массовый,42,1251.97,Минск,Интернет-банк,Классическая,5112.17,2023-02-10,1,10.0
CLT00168,Массовый,38,908.94,Минск,Интернет-банк,Классическая,5247.07,2023-03-15,0,
CLT00169,Массовый,34,1969.09,Минская область,Мобильное приложение,Классическая,6174.76,2023-12-10,0,
CLT00170,Массовый,23,1749.12,Гомельская область,Мобильное приложение,Классическая,7540.43,2024-02-25,1,6.0
CLT00171,Премиум,43,14649.47,Минск,Мобильное приложение,Золотая,40863.48,2023-05-18,0,
CLT00172,Массовый,29,1430.81,Витебская область,Партнёр,Классическая,7838.25,2023-02-17,1,22.0
CLT00173,Массовый+,43,3123.85,Могилёвская область,Мобильное приложение,Золотая,17660.43,2023-09-13,1,23.0
CLT00174,Массовый,45,1754.19,Гродненская область,Отделение,Классическая,5778.36,2024-05-19,0,
CLT00175,Массовый,41,1521.46,Минская область,Интернет-банк,Классическая,8240.46,2023-04-14,0,
CLT00176,Массовый,35,2275.93,Могилёвская область,Отделение,Классическая,5176.85,2023-10-21,1,6.0
CLT00177,Премиум,41,8022.22,Гродненская область,Мобильное приложение,Золотая,36283.94,2023-08-08,1,14.0
CLT00178,Массовый,39,1911.41,Минск,Мобильное приложение,Классическая,9170.12,2024-06-11,0,
CLT00179,Массовый,24,1689.14,Минск,Интернет-банк,Классическая,3406.78,2023-06-11,0,
CLT00180,Массовый,19,1713.48,Витебская область,Мобильное приложение,Классическая,8970.64,2023-12-20,1,2.0
CLT00181,Массовый,25,2260.4,Минск,Мобильное приложение,Классическая,12365.56,2023-03-10,1,24.0
CLT00182,Массовый+,36,3040.13,Гомельская область,Интернет-банк,Золотая,11603.29,2023-02-23,1,21.0
CLT00183,Массовый,45,1461.83,Витебская область,Мобильное приложение,Классическая,5948.96,2023-03-26,0,
CLT00184,Массовый+,37,4139.37,Минская область,Интернет-банк,Золотая,24559.59,2023-05-16,1,24.0
CLT00185,Премиум,33,14384.64,Минская область,Интернет-банк,Платиновая,47572.71,2023-05-17,1,21.0
CLT00186,Массовый,42,2203.77,Минская область,Мобильное приложение,Классическая,8982.83,2024-01-17,1,16.0
CLT00187,Массовый+,54,2766.53,Минск,Мобильное приложение,Золотая,10028.78,2024-01-20,0,
CLT00188,Массовый,27,2101.09,Минская область,Отделение,Классическая,8268.82,2023-08-20,0,
CLT00189,Массовый,30,937.11,Минск,Мобильное приложение,Классическая,2159.07,2023-08-05,0,
CLT00190,Массовый,45,2491.25,Гомельская область,Мобильное приложение,Классическая,5357.7,2023-07-08,0,
CLT00191,Массовый,18,1570.08,Минск,Мобильное приложение,Классическая,3994.5,2023-07-08,0,
CLT00192,Массовый+,29,4805.45,Минск,Отделение,Классическая,16527.31,2023-12-05,1,7.0
CLT00193,Массовый+,37,5464.69,Минская область,Отделение,Классическая,17315.56,2023-09-23,1,25.0
CLT00194,Массовый,36,2205.7,Могилёвская область,Мобильное приложение,Классическая,5493.08,2024-04-20,0,
CLT00195,Массовый,42,1192.14,Минская область,Отделение,Классическая,5333.66,2023-11-24,0,
CLT00196,Массовый,18,2371.73,Минская область,Мобильное приложение,Классическая,11051.77,2023-10-06,0,
CLT00197,Массовый,28,1515.76,Минская область,Интернет-банк,Классическая,3139.16,2024-03-09,1,7.0
CLT00198,Массовый+,33,3973.71,Минск,Мобильное приложение,Классическая,10660.73,2023-12-15,1,27.0
CLT00199,Массовый,34,1233.17,Витебская область,Интернет-банк,Классическая,5569.18,2024-01-01,1,12.0
CLT00200,Массовый+,48,4357.28,Минск,Отделение,Золотая,20496.2,2023-06-28,0,
CLT00201,Массовый,22,1893.32,Минск,Мобильное приложение,Классическая,5478.59,2024-04-10,1,26.0
CLT00202,Премиум,37,13501.1,Минская область,Мобильное приложение,Золотая,36262.65,2023-04-25,1,19.0
CLT00203,Массовый,24,1643.94,Витебская область,Отделение,Классическая,6413.94,2024-01-14,0,
CLT00204,Премиум,52,15739.14,Гродненская область,Отделение,Платиновая,54560.34,2023-02-08,1,1.0
CLT00205,Массовый+,41,5686.07,Гродненская область,Отделение,Золотая,17444.49,2024-05-03,0,
CLT00206,Массовый+,35,4903.23,Брестская область,Мобильное приложение,Классическая,18665.94,2024-01-12,0,
CLT00207,Массовый,40,835.35,Минск,Отделение,Классическая,1701.62,2024-04-11,0,
CLT00208,Private,65,33185.06,Гродненская область,Мобильное приложение,Привилегия,160264.45,2024-05-01,1,12.0
CLT00209,Массовый+,36,5004.71,Минск,Интернет-банк,Золотая,20922.1,2024-06-18,1,25.0
CLT00210,Массовый+,49,3188.79,Гродненская область,Интернет-банк,Классическая,15762.1,2023-07-09,0,
CLT00211,Массовый+,51,2841.49,Гродненская область,Интернет-банк,Золотая,17025.17,2023-03-25,1,25.0
CLT00212,Массовый,26,1848.85,Витебская область,Отделение,Классическая,5766.04,2024-01-02,1,9.0
CLT00213,Private,52,80778.13,Минская область,Отделение,Платиновая,442915.41,2024-03-02,1,17.0
CLT00214,Массовый+,55,3453.99,Гродненская область,Интернет-банк,Золотая,13470.26,2024-01-02,0,
CLT00215,Премиум,45,14695.65,Минская область,Мобильное приложение,Платиновая,64533.07,2023-11-29,0,
CLT00216,Массовый,38,2387.68,Гродненская область,Мобильное приложение,Классическая,14066.67,2023-08-23,1,6.0
CLT00217,Массовый,34,2445.15,Минск,Интернет-банк,Классическая,14457.8,2023-08-20,1,5.0
CLT00218,Массовый,21,2400.83,Минск,Мобильное приложение,Классическая,8659.52,2024-05-16,1,24.0
CLT00219,Массовый+,32,5932.32,Минская область,Мобильное приложение,Золотая,20104.89,2023-03-14,0,
CLT00220,Массовый,32,1626.3,Гродненская область,Отделение,Классическая,6466.72,2023-08-14,0,
CLT00221,Массовый+,48,3771.67,Минская область,Интернет-банк,Золотая,11938.34,2023-05-09,0,
CLT00222,Массовый+,39,4317.45,Минск,Мобильное приложение,Золотая,17062.92,2023-04-23,1,3.0
CLT00223,Private,43,22962.63,Минск,Интернет-банк,Привилегия,68358.58,2024-06-29,1,5.0
CLT00224,Массовый+,41,2689.99,Брестская область,Отделение,Золотая,12188.58,2024-04-16,1,4.0
CLT00225,Массовый+,54,3794.87,Гомельская область,Мобильное приложение,Классическая,21246.42,2023-02-05,0,
CLT00226,Массовый+,48,2518.54,Витебская область,Мобильное приложение,Золотая,5758.83,2024-05-24,0,
CLT00227,Массовый,24,1937.71,Минск,Интернет-банк,Классическая,7465.98,2024-03-22,0,
CLT00228,Массовый,20,1303.03,Витебская область,Интернет-банк,Классическая,4087.87,2023-05-24,0,
CLT00229,Массовый,30,1976.18,Минская область,Отделение,Классическая,5138.52,2023-10-22,1,20.0
CLT00230,Массовый,24,2111.31,Минск,Отделение,Классическая,7485.14,2023-11-18,0,
CLT00231,Массовый,45,1432.83,Витебская область,Мобильное приложение,Классическая,4347.35,2024-06-05,0,
CLT00232,Массовый,45,1459.17,Минск,Интернет-банк,Классическая,3899.13,2023-12-15,0,
CLT00233,Массовый,26,1644.35,Минск,Отделение,Классическая,9017.32,2023-12-12,0,
CLT00234,Массовый,38,2132.63,Минск,Отделение,Классическая,5296.53,2023-08-20,0,
CLT00235,Массовый,36,2091.61,Гомельская область,Мобильное приложение,Классическая,7711.9,2024-05-07,1,26.0
CLT00236,Массовый,32,2023.21,Минск,Мобильное приложение,Классическая,9897.07,2023-02-20,0,
CLT00237,Массовый,28,1996.16,Минская область,Интернет-банк,Классическая,6986.38,2024-05-23,1,28.0
CLT00238,Массовый,37,1981.38,Минск,Мобильное приложение,Классическая,7336.58,2024-06-27,0,
CLT00239,Массовый+,30,4759.19,Гродненская область,Мобильное приложение,Золотая,21098.95,2023-01-15,0,
CLT00240,Массовый,45,1956.87,Минск,Интернет-банк,Классическая,7463.59,2023-01-30,1,3.0
CLT00241,Массовый+,29,4463.4,Гродненская область,Партнёр,Золотая,16268.06,2023-09-09,1,26.0
CLT00242,Массовый+,29,5816.63,Минск,Интернет-банк,Классическая,30886.29,2023-11-25,0,
CLT00243,Массовый,42,1603.91,Минск,Мобильное приложение,Классическая,3613.09,2023-03-30,0,
CLT00244,Массовый+,37,5077.37,Витебская область,Мобильное приложение,Классическая,29053.88,2024-01-06,1,23.0
CLT00245,Массовый,43,819.64,Витебская область,Отделение,Классическая,2856.96,2023-01-13,0,
CLT00246,Массовый+,52,5761.46,Минск,Мобильное приложение,Золотая,19701.78,2023-05-22,0,
CLT00247,Private,59,67915.1,Могилёвская область,Отделение,Платиновая,332931.91,2023-12-11,0,
CLT00248,Массовый+,26,4002.34,Могилёвская область,Интернет-банк,Классическая,11543.93,2024-02-04,0,
CLT00249,Массовый,21,2084.94,Минская область,Отделение,Классическая,5689.05,2023-09-17,0,
CLT00250,Массовый+,46,3066.86,Гродненская область,Мобильное приложение,Классическая,16755.31,2024-04-19,1,23.0
CLT00251,Премиум,45,18354.94,Минск,Интернет-банк,Платиновая,75259.72,2024-03-17,1,18.0
CLT00252,Массовый,22,2170.96,Минская область,Отделение,Классическая,4543.33,2023-05-14,1,5.0
CLT00253,Массовый,25,1219.98,Гомельская область,Мобильное приложение,Классическая,5890.69,2024-06-07,0,
CLT00254,Массовый,24,2449.21,Брестская область,Интернет-банк,Классическая,6004.96,2023-10-27,0,
CLT00255,Массовый+,33,5892.55,Витебская область,Отделение,Золотая,23118.26,2023-04-10,1,23.0
CLT00256,Массовый,36,1453.24,Брестская область,Мобильное приложение,Классическая,7513.3,2024-06-08,0,
CLT00257,Массовый,45,2438.31,Могилёвская область,Мобильное приложение,Классическая,6648.41,2023-08-28,1,5.0
CLT00258,Массовый,22,2146.74,Минская область,Интернет-банк,Классическая,7274.5,2023-05-04,0,
CLT00259,Массовый,24,2320.97,Минск,Отделение,Классическая,5857.73,2023-05-04,0,
CLT00260,Массовый+,49,3497.35,Минская область,Мобильное приложение,Классическая,8248.22,2023-05-14,0,
CLT00261,Массовый,33,2447.9,Витебская область,Отделение,Классическая,5098.5,2023-03-02,0,
CLT00262,Массовый,30,897.99,Гомельская область,Мобильное приложение,Классическая,2657.85,2023-06-24,1,19.0
CLT00263,Массовый+,29,4473.73,Минская область,Интернет-банк,Классическая,11333.35,2023-11-25,0,
